MLSID,Address,Subdivision,Price,SqFt,Bedrooms,BathsFull,BathsHalf,DaysOnMarket,Agent,Firm
N117546S,1680 MELISSA COURT,EAST LAKE,682000,3876,5,4,1,0,A14,F96 
R117553S,2212 EAST LAKE BOULEVARD,EAST LAKE,678000,3819,4,4,0,44,A16,F360 
R122888S,621 DUMAS DRIVE,SWINGLE,675000,4639,5,5,1,1,A17,F0 
R117359S,6204 HEATH ROAD,PAUL HALL,675000,5547,5,4,2,43,A18,F155 
N117082S,2043 EAST LAKE BOULEVARD,EAST LAKE,656000,3700,5,4,1,114,A12,F177 
R121064S,434 HARE AVENUE,PINEVIEW,652000,3426,4,3,1,2,A6,F96 
R117415S,1873 PRIM DRIVE,SUGAR CREEK ESTATES,650000,4750,4,4,2,3,A19,F96 
N126602S,725 PETRIE ROAD,CARY WOODS,637902,3873,4,3,1,198,A8,F96 
N116846S,1355 FALLS CREST DRIVE,YARBROUGH FARMS,622000,3970,5,3,1,112,A20,F177 
R117178S,6837 HEATH ROAD,METES & BOUNDS,621000,2841,4,3,1,139,A21,F516 
R117811S,285 BENTLEY COURT,WHITE OAKS,620500,4091,4,3,1,174,A22,F312 
R114831S,7018 HEATH ROAD,GOLD HILL,618000,5100,6,5,1,440,A8,F96 
N122480S,1348 FALLS CREST DRIVE,YARBROUGH FARMS,612985,3340,4,4,0,274,A23,F177 
R115143S,424 PINEDALE DRIVE,PINEDALE PARK,610000,2835,2,2,1,118,A6,F96 
R119084S,2027 WINDWAY ROAD,GROVE HILL,600000,6363,6,4,1,15,A3,F278 
R117703S,713 HIGHLAND ROAD,MOORES MILL,599000,5602,5,3,1,6,A8,F96 
N119110S,1717 LIVVY LANE,EAST LAKE,594000,3367,4,3,1,212,A24,F177 
R120692S,377 BENTLEY COURT,WHITE OAKS,590000,3600,5,4,0,74,A6,F96 
R119484S,1718 LIVVY LANE,EAST LAKE,590000,4175,5,4,0,156,A25,F177 
R114213S,8958 TARA LANE,BELLE TARA,590000,6383,5,3,1,213,A26,F52 
N126537S,2232 HERITAGE RIDGE LANE,ASHETON LAKES - HERITAGE RIDGE,587000,3580,5,4,0,0,A12,F177 
N121145S,1540 ALEX AVENUE,EAST LAKE,580000,3415,5,4,0,33,A27,F177 
R117787S,8403 WESTMINSTER COURT,CHAPEL HILL,575000,5060,5,5,1,96,A28,F177 
N126554S,Lot 47 TIFFANIE COURT,EAST LAKE,571750,3182,4,4,1,365,A24,F177 
N116847S,1607 CLUB CREEK DRIVE,YARBROUGH FARMS,570000,3581,4,3,1,179,A20,F177 
R116965S,1334 FALLS CREST DRIVE,YARBROUGH FARMS,562000,3395,5,4,0,125,A29,F177 
N115092S,2224 EAST LAKE BOULEVARD,EAST LAKE,558147,2738,4,3,1,25,A30,F278 
R119498S,2180 LESTER COURT,EAST LAKE,555000,4540,4,3,1,48,A29,F177 
R117830S,1690 DURHAM COURT,MOORES MILL GOLF CLUB,552500,3708,4,4,1,22,A31,F96 
R117882S,2230 WRIGHTS MILL ROAD,AUBURN,551000,4234,4,4,1,59,A32,F155 
R116864S,1735 CANDLER WAY,MOORES MILL GOLF CLUB,547000,6300,6,4,1,90,A15,F516 
N117273S,529 MERIMONT BOULEVARD,ASHETON LAKES - HERITAGE RIDGE,545000,3250,5,4,0,49,A24,F177 
N114880S,1386 FALLS CREST DRIVE,YARBROUGH FARMS,541800,3150,4,4,0,105,A33,F177 
N114924S,1625 CLUB CREEK DRIVE,YARBROUGH FARMS,540000,3307,5,3,0,303,A7,F177 
N116969S,1607 ELLA GRACE DRIVE,YARBROUGH FARMS,540000,3535,5,4,1,320,A7,F177 
N114621S,432 MERIMONT BOULEVARD,ASHETON LAKES - HERITAGE RIDGE,534000,3591,5,4,0,375,A24,F177 
N114740S,1294 FALLS CREST DRIVE,YARBROUGH FARMS,531164,3103,5,4,1,159,A7,F177 
R117733S,1539 ALEX AVENUE,EAST LAKE,531000,3460,5,4,0,59,A3,F278 
R116823S,8428 WESTMINSTER COURT,CHAPEL HILL,530000,4174,4,3,1,12,A34,F3 
N115501S,724 PETRIE ROAD,CARY WOODS,530000,4828,5,3,2,200,A35,F360 
C125318S,234 W MAGNOLIA AVENUE,LEGENDS OF MAGNOLIA,525000,1548,3,3,0,19,A36,F19 
R122215S,821 CARPENTER WAY,GROVE HILL,525000,3412,5,4,1,42,A29,F177 
R119205S,2152 LESTER COURT,EAST LAKE,525000,3688,5,3,1,48,A37,F96 
P116968S,1547 MARIE LOOP,EAST LAKE,524633,3100,4,3,1,54,A30,F278 
R114898S,1617 COVINGTON RIDGE,MOORES MILL,523000,3881,4,3,1,280,A8,F96 
R117576S,1652 COVINGTON RIDGE,MOORES MILL,520000,5231,6,4,1,99,A8,F96 
R120530S,2236 MOUNT VERNON LANE,ASHETON LAKES,520000,5478,5,3,1,170,A38,F360 
N120770S,1199 FALLS CREST PLACE,YARBROUGH FARMS,519900,3069,4,3,1,142,A39,F360 
N126553S,457 MERIMONT BOULEVARD,ASHETON LAKES - HERITAGE RIDGE,519050,3751,5,4,0,0,A12,F177 
R120603S,2157 LESTER COURT,EAST LAKE,515000,3289,5,4,0,18,A40,F516 
R120634S,1585 MARLEY LANE,EAST LAKE,515000,3100,4,3,1,61,A3,F278 
R117399S,526 HAMILTON HILLS COURT,HAMILTON HILLS,514000,4261,5,3,0,115,A3,F278 
N123989S,1144 SOUTHRIDGE COURT,CYPRESS POINT,509810,3260,5,2,1,0,A41,F360 
N115224S,2061 LAMB LANE,ASHETON LAKES - HERITAGE RIDGE,508583,3133,4,4,1,46,A12,F177 
R117425S,8961 TARA LANE,BELLE TARA,505000,3807,5,4,0,42,A42,F516 
N122860S,1610 ELLA GRACE DRIVE,YARBROUGH FARMS,501000,3435,5,4,0,0,A7,F177 
N116602S,1193 FALLS CREST DRIVE,YARBROUGH FARMS,500945,3069,5,3,1,68,A39,F360 
C115034S,234 W MAGNOLIA AVENUE,LEGENDS OF MAGNOLIA,500000,1457,2,2,1,361,A43,F174 
R119384S,2260 MOUNT VERNON COURT,ASHETON LAKES,499900,3960,5,3,1,0,A28,F177 
N114907S,114 PRATHERS LAKE DRIVE,THE WOODS AT PRATHERS LAKE,499900,4600,6,5,0,211,A44,F476 
N116618S,1246 FALLS CREST PLACE,YARBROUGH FARMS,499000,3406,5,4,0,239,A45,F388 
N119446S,1 DICKEN'S  ALLEY,THE LEGACY AT CARY CREEK,495045,2483,3,2,0,108,A46,F177 
N112256S,6 LEGACY LANE,THE LEGACY AT CARY CREEK,495000,2710,3,2,1,485,A46,F177 
N122394S,7 DICKEN'S  ALLEY,THE LEGACY AT CARY CREEK,492727,2743,3,3,0,219,A46,F177 
N117318S,1562 ELLA GRACE DRIVE,YARBROUGH FARMS,490000,2937,4,3,1,0,A7,F177 
N117913S,3250 CANNON LANE,BILTMORE FARMS,485000,3630,5,3,1,167,A35,F360 
R122232S,2755 W FARMVILLE ROAD,NONE,483000,1500,3,2,0,69,A21,F516 
R119375S,1532 ELISE LANE,GROVE HILL,482000,3742,5,2,0,61,A17,F0 
N121147S,2 LEGACY LANE,THE LEGACY AT CARY CREEK,481500,2414,3,2,1,0,A46,F177 
R117214S,170 PLAINSMAN HILLS LANE,PLAINSMAN HILLS,480000,3513,5,3,0,4,A9,F155 
R123975S,1171 WALDEN LANE,GROVE HILL,480000,4900,6,4,1,13,A47,F406 
R117704S,480 BENNINGTON COURT,ASHETON LAKES,478000,3658,6,4,0,31,A48,F155 
P114274S,951 ANDREWS AVENUE,PARC AT UNIVERSITY CLUB,475050,2663,4,3,1,151,A49,F177 
N124119S,1854 YARBROUGH FARMS BOULEVARD,PINE VALLEY,474115,2743,4,3,1,0,A17,F0 
R116946S,1225 Ingleside DRIVE,GROVE HILL,472000,3245,4,3,1,118,A50,F278 
R115071S,1522 MARLEY LANE,EAST LAKE,472000,3040,4,3,0,195,A9,F155 
N108201S,555 BERKLEY AVENUE,BEAUMONT,470597,3011,4,4,1,836,A8,F96 
N117275S,2164 WELCH   CROSSING,ASHETON LAKES - HERITAGE RIDGE,470000,2881,4,3,0,139,A24,F177 
N126555S,2210 HERITAGE RIDGE LANE,ASHETON LAKES - HERITAGE RIDGE,469821,2912,4,4,0,0,A24,F177 
R119328S,1440 CROSSING WAY,GROVE HILL,469700,3355,5,3,1,9,A51,F39 
R117816S,2562 WINDY HILL PLACE,BENT CREEK,469000,3200,5,4,0,70,A10,F52 
R115333S,1677 COVINGTON RIDGE,MOORES MILL,467500,3255,4,3,1,135,A52,F177 
R121125S,634 MONTICELLO COURT,ASHETON LAKES,466000,3920,5,4,1,130,A8,F96 
R117626S,1628 MAYFAIR COURT,GROVE HILL,465000,3199,3,2,1,10,A8,F96 
R117901S,1796 STAPLES COURT,MOORES MILL GOLF CLUB,465000,3202,4,3,1,15,A29,F177 
R117439S,2214 WATERCREST DRIVE,ASHETON PARK,465000,3325,4,3,1,114,A8,F96 
R113568S,1681 PRESLEY COURT,MOORES MILL GOLF CLUB,465000,3518,4,4,1,452,A24,F177 
R112182S,712 HIGHLAND ROAD,MOORES MILL,465000,4750,4,3,1,661,A9,F155 
N117419S,534 Merimont BOULEVARD,ASHETON LAKES - HERITAGE RIDGE,464000,3137,4,3,1,307,A12,F177 
N114665S,2025 MOHICAN DRIVE,PRESERVE,462900,3533,6,4,1,316,A53,F96 
R122206S,1651 MARIE LOOP,EAST LAKE,461000,3128,5,4,1,23,A7,F177 
R121201S,216 FLAGSTONE PLACE,STONEWOOD FARM,460000,4956,6,5,0,9,A29,F177 
R117176S,456 PINEDALE DRIVE,PINEDALE PARK,459000,2470,3,2,0,33,A21,F516 
R119439S,2525 GLENN BROOKE DRIVE,BENT BROOKE,458000,3501,4,4,0,81,A8,F96 
N126601S,731 PETRIE ROAD,CARY WOODS,458000,2853,4,3,1,272,A8,F96 
N119251S,1080 BRIAR CLIFF LANE,GROVE HILL,457574,2900,4,4,0,0,A7,F177 
R120722S,306 QUARRY PLACE,STONEWOOD FARM,457500,5200,5,4,1,3,A54,F177 
T122520S,128 BURTON STREET,MAGNOLIA EAST TOWNHOMES,456000,2048,4,3,0,7,A40,F516 
R119073S,1701 WALDROP COURT,GROVE HILL,455000,3357,4,3,1,34,A29,F177 
R116582S,237 PEPPERWOOD TRAIL,AUBURN,455000,2057,3,2,1,78,A9,F155 
R117172S,419 MERIMONT BOULEVARD,ASHETON LAKES - HERITAGE RIDGE,453535,2983,4,4,0,40,A21,F516 
N115338S,4 LEGACY LANE,THE LEGACY AT CARY CREEK,452631,2381,3,2,1,3,A46,F177 
N115480S,1637 CLUB CREEK DRIVE,YARBROUGH FARMS,450354,2862,4,3,1,126,A7,F177 
R116889S,296 CHEWACLA DRIVE,PINEVIEW,450000,4395,4,4,0,-32,A3,F278 
R120911S,2240 W FARMVILLE ROAD,PRESERVE,450000,3368,5,3,1,29,A53,F96 
R115508S,2128 WHITE OAK LANE,OAK HOLLOW,450000,3179,4,2,0,115,A9,F155 
R117208S,1602 OLIVIA WAY,GROVE HILL,450000,3780,5,3,0,135,A24,F177 
R117382S,702 HIGHLAND ROAD,MOORES MILL,449900,3220,4,3,1,10,A55,F39 
N117311S,1830 YARBROUGH FARMS BOULEVARD,PINE VALLEY,449000,2811,4,3,1,173,A8,F96 
P117316S,1613 ELLA GRACE DRIVE,YARBROUGH FARMS,448662,2522,4,3,1,0,A7,F177 
R122320S,2102 BRENTON LANE,ASHETON PARK,447500,3563,5,3,1,46,A8,F96 
R120750S,1515 DUNBAR COURT,GROVE HILL,447000,3622,4,3,1,143,A8,F96 
N117630S,2146 PRESERVE DRIVE,PRESERVE,446010,3355,5,3,1,0,A53,F96 
R118961S,1429 TURN LAKE DRIVE,YARBROUGH FARMS,445000,3635,5,3,1,71,A56,F177 
N117195S,426 Merimont BOULEVARD,ASHETON LAKES - HERITAGE RIDGE,445000,2745,4,3,0,233,A12,F177 
N114456S,2104 PRESERVE DRIVE,PRESERVE,445000,3232,5,3,1,303,A53,F96 
N126593S,1455 PING COURT,PINE VALLEY,444335,2516,4,4,1,227,A8,F96 
O117563S,1794 COVINGTON  RIDGE,DEVONSHIRE,441713,2244,3,2,1,0,A3,F278 
R120685S,2041 COUNTRY SQUIRE ROAD,COUNTRY HILLS,440000,3609,4,3,1,15,A10,F52 
N116771S,1208 ROCK FENCE ROAD,CLUB HOMES AT MOORES MILL,440000,3153,4,4,0,69,A3,F278 
R115020S,1689 MELISSA COURT,EAST LAKE,440000,3887,4,3,1,118,A8,F96 
N124104S,1526 CLUB CREEK DRIVE,YARBROUGH FARMS,439861,2903,4,3,0,0,A39,F360 
R119013S,1665 OLIVIA WAY,GROVE HILL,439000,3100,4,3,1,10,A57,F177 
N117458S,2048 LAMB LANE,ASHETON LAKES - HERITAGE RIDGE,437592,2756,4,3,1,84,A12,F177 
N126534S,444 MERIMONT BOULEVARD,ASHETON LAKES - HERITAGE RIDGE,437318,3230,5,3,1,0,A12,F177 
N116766S,1202 ROCK FENCE ROAD,CLUB HOMES AT MOORES MILL,436000,3153,4,4,0,174,A3,F278 
R119064S,2035 MOHICAN DRIVE,PRESERVE,435000,3546,6,4,1,14,A53,F96 
N117319S,1419 PING COURT,PINE VALLEY,435000,2780,4,3,1,14,A8,F96 
N116770S,1206 ROCK FENCE ROAD,CLUB HOMES AT MOORES MILL,435000,3153,4,4,0,95,A3,F278 
N116769S,1204 ROCK FENCE ROAD,CLUB HOMES AT MOORES MILL,435000,3153,4,4,0,175,A3,F278 
N117028S,6 KIPLING LANE,THE LEGACY AT CARY CREEK,434000,2376,3,3,0,243,A46,F177 
N118960S,1312 SOUTHRIDGE COURT,CYPRESS POINT,433646,3100,4,3,0,68,A41,F360 
R122345S,1532 CLUB CREEK DRIVE,YARBROUGH FARMS,432500,2932,4,3,0,15,A58,F39 
N115272S,1204 SOUTHRIDGE COURT,CYPRESS POINT,432000,3530,5,4,0,153,A59,F360 
R119472S,845 N CARY DRIVE,CARY WOODS,430600,3160,4,4,0,4,A22,F312 
O109554S,1794 COVINGTON  RIDGE,DEVONSHIRE,430202,2244,3,2,1,811,A3,F278 
R120992S,792 OAKDALE DRIVE,TUTTON HILL,428000,2837,4,3,1,14,A24,F177 
O117896S,1794 COVINGTON  RIDGE,DEVONSHIRE,426667,2244,3,2,1,126,A3,F278 
R120972S,312 BAYTREE LANE,CARY WOODS,425000,3089,5,3,0,6,A29,F177 
R124108S,577 MERIMONT BOULEVARD,ASHETON LAKES,425000,3349,5,2,1,30,A60,F155 
C113488S,696 W MAGNOLIA AVENUE,CHAMPIONS CLUB,425000,1498,3,3,0,351,A9,F155 
R120718S,1960 PRESERVE DRIVE,PRESERVE,424500,3970,6,3,1,27,A29,F177 
R115527S,539 BENNINGTON COURT,ASHETON LAKES,424000,3186,4,3,1,122,A24,F177 
N117852S,1150 SOUTHRIDGE COURT,CYPRESS POINT,422826,3530,6,4,0,202,A59,F360 
R117366S,2555 GLENN BROOKE DRIVE,BENT BROOKE,422000,2788,5,3,0,92,A47,F406 
R120820S,553 HAMILTON HILLS DRIVE,HAMILTON HILLS,420000,3970,4,3,1,24,A8,F96 
R120904S,212 ASHETON LANE,ASHETON PARK,420000,3893,4,3,2,34,A61,F96 
R114763S,1843 AMBERTON COURT,ASHETON PARK,420000,5157,5,4,1,158,A24,F177 
N115113S,1532 CLUB CREEK DRIVE,YARBROUGH FARMS,419900,2761,4,3,0,175,A39,F360 
N126530S,904 ANDREWS AVENUE,PARC AT UNIVERSITY CLUB,419247,2893,4,3,0,0,A49,F177 
N122363S,1180 SOUTHRIDGE COURT,CYPRESS POINT,418000,3030,4,3,1,120,A41,F360 
R119497S,2324 ANNANDALE LANE,ASHETON LAKES,416500,2723,5,3,0,34,A62,F388 
C122318S,234 W MAGNOLIA AVENUE,LEGENDS OF MAGNOLIA,416000,1308,3,3,1,1,A36,F19 
R120915S,1997 PRESERVE DRIVE,PRESERVE,415000,3357,5,3,1,72,A53,F96 
N115535S,00 BROOKSHIRE COURT,MIMMS TRAIL,415000,2960,4,4,0,92,A63,F312 
N115225S,2173 WELCH   CROSSING,ASHETON LAKES - HERITAGE RIDGE,415000,2516,4,4,1,106,A12,F177 
R117298S,730 MOORES MILL DRIVE,MOORES MILL,415000,3876,5,3,2,129,A24,F177 
N117917S,305 QUARRY LANE,STONEWOOD FARM,415000,3112,5,3,0,202,A35,F360 
R114500S,1002 TERRACE ACRES CIRCLE,TERRACE ACRES,415000,4409,4,3,1,251,A16,F360 
N114652S,2150 CONCORDE COURT,ASHETON LAKES,413356,2745,4,3,1,205,A8,F96 
N116677S,324 Baytree LANE,CARY WOODS,412399,2690,4,3,1,24,A8,F96 
R117586S,2255 SPRINGHILL DRIVE,TWIN CREEKS,410000,3469,5,3,1,18,A8,F96 
R118954S,381 OAK RIDGE DRIVE,CLOVER LEAF,410000,3724,4,3,1,34,A64,F155 
R115055S,1806 RAYMER PLACE,MOORES MILL GOLF CLUB,410000,3193,5,3,0,131,A29,F177 
N115537S,208 BROOKSHIRE COURT,MIMMS TRAIL,410000,2871,4,3,0,171,A63,F312 
N126595S,339 BAYTREE LANE,CARY WOODS,410000,2730,4,3,1,211,A8,F96 
R120828S,8759 TARA LANE,BELLE TARA,408000,3488,6,4,0,129,A55,F39 
T122703S,116 BURTON STREET,MAGNOLIA EAST TOWNHOMES,406000,1730,2,2,1,6,A23,F177 
R120622S,563 CROSS CREEK ROAD,WILLOW CREEK FARMS,406000,3383,4,3,1,8,A12,F177 
C120803S,234 W MAGNOLIA AVENUE,LEGENDS OF MAGNOLIA,405000,1308,2,2,1,9,A36,F19 
R117339S,1251 REDFERN PLACE,GROVE HILL,405000,2980,5,3,1,17,A9,F155 
C121030S,234 W MAGNOLIA AVENUE,LEGENDS OF MAGNOLIA,405000,1425,2,2,1,20,A6,F96 
N117804S,216 BROOKSHIRE COURT,MIMMS TRAIL,405000,2700,4,3,0,74,A63,F312 
N116880S,2165 COLUMBIA COURT,ASHETON LAKES,405000,2636,4,2,1,77,A61,F96 
R117411S,541 N College STREET,CARY WOODS,405000,2217,3,2,0,78,A65,F177 
R119248S,369 PAYNE STREET,SAMFORD,402000,2774,5,2,0,36,A6,F96 
R125236S,208 BROOKSHIRE COURT,MIMMS TRAIL,400900,2871,4,3,0,19,A66,F155 
R119465S,2572 WESTON STREET,COTSWOLDS,400000,3825,5,3,1,2,A67,F320 
N119201S,2604 CAPRI WAY,STONEWOOD FARM,400000,4100,5,4,0,152,A35,F360 
P115150S,1014 FALCONER DRIVE,PARC AT UNIVERSITY CLUB,399000,2313,3,2,1,19,A49,F177 
N117310S,1431 PING COURT,PINE VALLEY,399000,2450,4,3,1,147,A8,F96 
R117358S,2252 BARRINGTON COURT,ASHETON LAKES,397000,3299,4,3,1,1,A14,F96 
R120671S,736 OAKDALE DRIVE,TUTTON HILL,397000,3167,5,3,0,43,A6,F96 
N126663S,2727 MIMMS LANE,MIMMS TRAIL,396600,3724,5,3,1,0,A68,F177 
R117883S,2284 COLUMBIA DRIVE,ASHETON LAKES,395000,2627,4,4,0,3,A12,F177 
R116914S,1539 ELISE LANE,GROVE HILL,395000,2902,4,3,1,34,A69,F360 
R120516S,725 MADELINE LANE,GROVE HILL,395000,3166,4,3,1,56,A70,F52 
R117536S,682 MOORES MILL DRIVE,MOORES MILL,395000,3496,4,3,1,148,A25,F177 
N124164S,217 BROOKSHIRE COURT,MIMMS TRAIL,392225,2521,4,3,0,0,A63,F312 
R121212S,2055 KIRKLAND DRIVE,TAMPLIN FARMS,392000,2776,3,2,1,54,A9,F155 
R122934S,4173 CREEKVIEW COURT,PARKERSON'S MILL,390000,3248,4,3,1,9,A16,F360 
T117735S,116 BURTON STREET,MAGNOLIA EAST TOWNHOMES,390000,1730,2,2,1,11,A40,F516 
T120580S,124 BURTON STREET,MAGNOLIA EAST TOWNHOMES,390000,1730,2,2,1,25,A40,F516 
N115419S,990 ANDREWS AVENUE,PARC AT UNIVERSITY CLUB,389500,2616,4,3,1,183,A49,F177 
P114276S,944 ANDREWS AVENUE,PARC AT UNIVERSITY CLUB,389147,2416,4,3,1,206,A49,F177 
R120986S,2325 ANNANDALE LANE,ASHETON LAKES,389000,2904,4,3,1,1,A71,F388 
R119081S,1105 SOUTHRIDGE COURT,CYPRESS POINT,389000,3831,5,3,1,127,A72,F155 
N119467S,212 BROOKSHIRE COURT,MIMMS TRAIL,389000,2871,4,3,0,175,A63,F312 
R119440S,1762 WOODLEY ROAD,MOORES MILL,387000,3142,4,3,1,8,A31,F96 
P114278S,906 FALCONER DRIVE,PARC AT UNIVERSITY CLUB,385726,2416,4,3,1,156,A49,F177 
R120680S,2600 WINDY HILL PLACE,BENT CREEK,385000,3333,4,3,0,17,A73,F360 
R120819S,369 OAK RIDGE DRIVE,CLOVER LEAF,385000,4710,3,3,1,25,A24,F177 
R124002S,1873 PRESERVE DRIVE,PRESERVE,385000,3158,4,3,1,68,A32,F155 
N116742S,1135 FIELDCREST LANE,GROVE HILL,384270,2450,4,2,1,23,A7,F177 
N114631S,1638 WOODLEY CIRCLE,MILLWOOD COTTAGES,384140,2303,4,3,1,215,A8,F96 
P119461S,508 BENNINGTON COURT,ASHETON LAKES,383739,3206,5,4,0,60,A48,F155 
R119060S,1806 JACOBS LANE,GROVE HILL,383000,3069,4,3,1,9,A15,F516 
R117695S,2066 BRENTON LANE,ASHETON PARK,383000,3168,4,3,1,18,A28,F177 
N117107S,1134 FIELDCREST LANE,GROVE HILL,382514,2456,3,2,1,0,A7,F177 
N119057S,771 KARLEE COURT,TUTTON HILL,382000,2457,4,3,1,60,A8,F96 
N125459S,960 ANDREWS AVENUE,PARC AT UNIVERSITY CLUB,380951,2381,3,2,1,427,A49,F177 
N116584S,2707 MIMMS LANE,MIMMS TRAIL,380000,3724,5,3,1,173,A68,F177 
R113993S,2210 ESTATE DRIVE,HICKORY HILLS,380000,2840,3,2,1,256,A74,F278 
N115513S,4 KIPLING LANE,THE LEGACY AT CARY CREEK,379900,1956,3,2,1,129,A46,F177 
N119348S,414 PARKERSON'S WAY,PARKERSON'S MILL,376107,2785,4,3,0,245,A16,F360 
N115500S,287 QUARRY PLACE,STONEWOOD FARM,375188,3112,5,3,0,85,A35,F360 
R117669S,910 TERRACE ACRES CIRCLE,TERRACE ACRES,375000,2793,4,2,1,30,A24,F177 
R116751S,230 SINGLETON STREET,GLEN HAVEN,375000,3333,5,3,0,57,A32,F155 
N115533S,1093 BRIAR CLIFF LANE,GROVE HILL,374755,2440,5,4,0,133,A7,F177 
P117905S,1131 FIELDCREST LANE,GROVE HILL,374350,2440,5,4,0,0,A7,F177 
N124150S,2731 MIMMS LANE,MIMMS TRAIL,374025,3300,5,3,1,0,A68,F177 
N115405S,1089 BRIAR CLIFF LANE,GROVE HILL,372285,2540,4,3,0,109,A7,F177 
P117216S,928 ANDREWS AVENUE,PARC AT UNIVERSITY CLUB,370000,2416,4,3,1,-189,A49,F177 
N117050S,2110 Preserve DRIVE,PRESERVE,370000,2599,4,3,1,0,A53,F96 
R116746S,1702 ABBY ROAD,GROVE HILL,370000,2845,4,3,1,115,A24,F177 
R117451S,760 BARKLEY CREST CIRCLE,BARKLEY CREST,370000,3150,4,3,1,132,A75,F177 
N119089S,952 ANDREWS AVENUE,PARC AT UNIVERSITY CLUB,368653,2429,4,3,1,0,A49,F177 
N114434S,1264 SOUTHRIDGE COURT,CYPRESS POINT,367000,2965,4,3,0,255,A41,F360 
N116810S,2714 MIMMS LANE,MIMMS TRAIL,365055,3155,5,3,0,153,A68,F177 
R125279S,1149 KNOLLWOOD COURT,UNIVERSITY ESTATES,365000,2812,4,2,1,0,A17,F0 
C124159S,402 W MAGNOLIA AVENUE,BROWN CREST CONDOMINIUMS,365000,1154,2,2,0,17,A76,F155 
R116802S,1852 Preserve DRIVE,PRESERVE,365000,3083,5,3,1,24,A11,F177 
R117699S,2170 SPRINGWOOD DRIVE,SPRINGWOOD,365000,4298,4,3,1,109,A3,F278 
N117309S,1430 PING COURT,PINE VALLEY,365000,2498,4,3,1,126,A8,F96 
N117676S,1961 PRESERVE DRIVE,PRESERVE,362723,4137,5,4,0,33,A77,F96 
R117930S,656 SHERWOOD DRIVE,HEARD,362500,2400,4,3,1,7,A48,F155 
T126592S,1687 EASTON COURT,EAST LAKE,360000,3045,4,3,0,0,A78,F278 
R122946S,324 PAYNE STREET,PINEVIEW,360000,1019,2,1,0,0,A31,F96 
R121137S,584 HEYWOOD STREET,COTSWOLDS,360000,3414,5,3,1,9,A79,F52 
R117622S,2610 WESTON STREET,COTSWOLDS,360000,4829,5,3,1,21,A14,F96 
R117650S,2198 MORGAN DRIVE,MORGAN WOODS,360000,3130,5,3,0,38,A80,F52 
R117748S,1755 WOODLEY ROAD,MOORES MILL,360000,2751,5,3,0,112,A33,F177 
R113763S,546 LAFAYETTE PLACE,ASHETON LAKES,360000,3060,4,3,0,265,A29,F177 
N116714S,844 WHITTINGTON STREET,COTSWOLDS,357834,4373,6,4,0,1,A81,F155 
C116879S,402 W MAGNOLIA AVENUE,BROWN CREST CONDOMINIUMS,357500,1154,2,2,0,8,A82,F96 
N122705S,2742 MIMMS LANE,MIMMS TRAIL,357150,3843,5,4,0,189,A68,F177 
R120782S,978 FALCONER DRIVE,PARC AT UNIVERSITY CLUB,357000,2583,4,3,0,17,A76,F155 
R117723S,1761 WOODLEY ROAD,MOORES MILL,356100,2822,3,2,1,8,A9,F155 
N117308S,1275 SOUTHRIDGE COURT,CYPRESS POINT,355407,2880,4,2,1,204,A41,F360 
R117277S,508 BRENTON   CROSSING,ASHETON LAKES,355000,2720,4,3,1,0,A24,F177 
R116998S,721 Wrights Mill ROAD,SWINGLE,355000,1802,4,2,0,6,A83,F96 
