STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
S St,SW,South Capitol St,1st St,3,Pavement Resurface/restoration,2004,100,Completed,0.17,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/01/2004 07:00:00 AM +0000,,399077.59597,133380.10003,38.8682434834902,-77.0106289198226,,,,4497,,,
Arizona Ave,NW,MacArthur Blvd,Garfield St,2,Pavement Resurface/restoration,2004,100,Completed,0.17,3,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,09/08/2004 07:00:00 AM +0000,09/08/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,391093.34965,140004.24022,38.9278714748059,-77.1027177378419,Citizen Request,,,3075,,,
28th St,NW,Cathedral Ave,Cortland Pl,1,Street Light Projects,2003,100,Completed,0.13,3,LOCAL,,11/30/2005 08:00:00 AM +0000,09/11/2004 07:00:00 AM +0000,,395060.94089,140175.36541,38.9294442821234,-77.0569619413802,,StreetLight Series Circuit Conversion at 5 Locations,Mike Dorsey,8706,Mike Dorsey,,
28th St,NW,Cathedral Ave,Cortland Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.13,3,LOCAL,03/31/2004 08:00:00 AM +0000,09/11/2004 07:00:00 AM +0000,09/11/2004 07:00:00 AM +0000,,395060.94089,140175.36541,38.9294442821234,-77.0569619413802,N/A,Citywide Pavement Restoration,Paul Stephenson,5949,Rodney Olive and William Lester,N/A,(202)6714591
32nd St,SE,E St,Cul De Sac (N),1,Upgrading,1999,100,Completed,0.03,7,LOCAL,03/31/2004 08:00:00 AM +0000,12/16/2003 08:00:00 AM +0000,09/12/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003,403344.83667,134976.34259,38.8826171921298,-76.9614494706803,,Local Street Upgr-W7,,2657,,,
Virginia Ave,NW,22nd St,24th St,2,Bridge Construction,2000,100,Completed,0.17,2,MINOR ARTERIAL,06/15/2001 07:00:00 AM +0000,,04/17/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003,395648.37891,136591.69296,38.8971644647992,-77.0501643355867,,,,2728,,,
Virginia Ave,NW,24th St,Rock Creek & Potomac Pky,8,Federal Aid Resurfacing,2003,100,Completed,0.38,2,MINOR ARTERIAL,,09/30/2003 07:00:00 AM +0000,04/17/2004 07:00:00 AM +0000,2 Year CIP 2000 - 2002,395285.92195,136843.71971,38.8994329434278,-77.0543443720252,,,,2554,,,
Barnaby Rd,SE,Forrester St,Galveston Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.05,8,LOCAL,03/31/2004 08:00:00 AM +0000,04/23/2004 07:00:00 AM +0000,04/23/2004 07:00:00 AM +0000,,400182.00326,128528.47199,38.8245383444578,-76.9979040485182,,,,4612,,,
R St,NW,8th St,Massachusetts Ave,19,Pavement Resurface/restoration,2001,100,Completed,1.53,2,MINOR ARTERIAL,,07/25/2003 07:00:00 AM +0000,04/23/2004 07:00:00 AM +0000,Strart date verbally given by S.A. Connecticut Ave. to Mass. Ave. was originally under the F.Aid_6YR_CIP 03/08,396781.42092,138305.71603,38.9126098627502,-77.037110961451,01-0098-AA-2-0-KA,Reconstruction & Resurfacing of R St. NW  8th to Connecticut,Maduabuchi Udeh,8692,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
22nd St,NW,I St,Pennsylvania Ave,1,Federal Aid Resurfacing,2004,100,Completed,0.09,2,COLLECTOR,06/01/2006 07:00:00 AM +0000,,05/01/2004 07:00:00 AM +0000,2 Year CIP 2000 - 2002,395764.45158,137060.7159,38.9013901584339,-77.0488291728627,,,,2320,,,
M St,NW,Rock Creek & Potomac Pky,Francis Scott Key Brg,11,Reconstruction,2002,100,Completed,0.7,2,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,05/02/2004 07:00:00 AM +0000,Added per e-mail,394607.01433,137482.53491,38.9051837130717,-77.0621759017529,,,,5105,,,
Alabama Ave,SE,Hilltop Ter,E St,4,Pavement Resurface/restoration,2004,100,Completed,0.26,7,LOCAL,03/31/2004 08:00:00 AM +0000,,05/02/2004 07:00:00 AM +0000,,405276.28973,134665.56982,38.8798081619588,-76.9391911224322,1st Aid to State ,CIP_2004-2009,,4893,,,
Atlantic St,SE,3rd St,6th St,2,Pavement Resurface/restoration,2004,100,Completed,0.19,8,COLLECTOR,04/15/2004 07:00:00 AM +0000,05/10/2004 07:00:00 AM +0000,05/06/2004 07:00:00 AM +0000,,400040.22573,129240.78594,38.8309552196909,-76.9995367184349,,,,5929,,,
Lawrence St,NE,24th St,Hoover Rd,1,Upgrading,1999,100,Completed,0.08,5,LOCAL,03/31/2004 08:00:00 AM +0000,10/26/2003 07:00:00 AM +0000,05/11/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003,402475.50842,140471.51699,38.9321225005461,-76.9714490043428,,,,2587,,,
Monroe St,NW,14th St (S),16th St,1,Regular Cover,2004,100,Completed,0.22,1,LOCAL,03/31/2004 08:00:00 AM +0000,,05/28/2004 07:00:00 AM +0000,Shortened limit from Brown St to 16th St,397000.75209,140445.8023,38.9318892231052,-77.0345913727689,,,,5141,,,
Upland Ter,NW,33rd St,Western Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.13,4,LOCAL,03/31/2004 08:00:00 AM +0000,06/01/2004 07:00:00 AM +0000,06/01/2004 07:00:00 AM +0000,,394147.11062,145123.37162,38.9740116395073,-77.0675433221085,N/A,Citywide Pavement Restoration,Paul Stephenson,4409,Madibo,N/A,202-671-4591
34th Pl,NW,Cul De Sac,Rittenhouse St,1,Pavement Resurface/restoration,2004,100,Completed,0.04,4,LOCAL,03/31/2004 08:00:00 AM +0000,06/01/2004 07:00:00 AM +0000,06/01/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002  Also Proposed by Construction Div,394027.4375,144621.63479,38.9694910714208,-77.0689199980383,N/A,Citywide Pavement Restoration,Paul Stephenson,2961,Madibo,N.A,202-671-4591
Anacostia Rd,SE,M St (E),Minnesota Ave,5,Upgrading,1999,100,Completed,0.36,7,LOCAL,03/31/2004 08:00:00 AM +0000,06/15/2004 07:00:00 AM +0000,06/02/2004 07:00:00 AM +0000,SURFACE ASPHALT COMPLETED ON 6/2/04. REMAINING WORK: STREET LIGHTS.,403101.23789,134111.67196,38.8748287935493,-76.9642609415434,,Local Street Upgr-W7,,2595,,,
Dubois Pl,SE,Cul De Sac,33rd St,1,Upgrading,2001,100,Completed,0.05,7,LOCAL,03/31/2004 08:00:00 AM +0000,07/15/2004 07:00:00 AM +0000,06/02/2004 07:00:00 AM +0000,basin/pipe work  curb/gutter  sidewalk and driveway aprons completed.waiting for mot approval before roadway excavation.,403447.90547,135264.76204,38.8852149869255,-76.9602601161863,,Local Street Upgr-W7,,4211,,,
30th St,SE,M St,Pennsylvania Ave,7,Upgrading,2002,100,Completed,0.38,7,LOCAL,03/31/2004 08:00:00 AM +0000,11/15/2004 08:00:00 AM +0000,06/03/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003  Was reported completed 08/30/2002  field survey in May 2003 confirm not completed.  FINAL SURFACE ASPHALT PLACED JUNE 3  2004. REMAINING WORK STREET LIGHTS.,403057.15581,133989.1919,38.873725598736,-76.9647694936925,,CompletedNotReported,,2597,,,
Bryant St,NE,18th St,20th St,2,Upgrading,1999,100,Completed,0.15,5,LOCAL,03/31/2004 08:00:00 AM +0000,,06/04/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003  Shortened the limit of the original project  per Khalid,401941.73814,139268.57245,38.9212873399829,-76.9776085861071,,,,4792,,,
South Capitol St,BN,D St,Canal St,1,Pavement Resurface/restoration,2004,100,Completed,0.1,2/6,COLLECTOR,03/31/2004 08:00:00 AM +0000,,06/04/2004 07:00:00 AM +0000,Completed but never update; determined through RoadCare data,399213.73117,135180.40697,38.8844614931722,-77.0090622847151,,,FY-05,2879,,,
33rd St,NW,Rittenhouse St,Pinehurst Cir,5,Pavement Resurface/restoration,2004,100,Completed,0.39,4,LOCAL,03/31/2004 08:00:00 AM +0000,06/07/2004 07:00:00 AM +0000,06/07/2004 07:00:00 AM +0000,Extened limits from Stephenson Pl to Rittenhouse St,394248.00946,144968.42989,38.9726165554054,-77.0663776329096,N/A,Citywide Pavement Restoration,Paul Stephenson,5136,Madibo,N/A,202-671-4591
I St,NE,2nd St,6th St,4,Reconstruction,1999,100,Completed,0.25,6,LOCAL,03/15/2002 08:00:00 AM +0000,09/15/2003 07:00:00 AM +0000,06/07/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003,399912.66998,137052.36755,38.9013251536091,-77.0010067760135,,,,2548,,,
R St,SE,28th St,30th St,3,Upgrading,1999,100,Completed,0.16,7,LOCAL,03/31/2004 08:00:00 AM +0000,05/31/2004 07:00:00 AM +0000,06/09/2004 07:00:00 AM +0000,SURFACE ASPHALT COMPLETED JUNE 8  2004. REMAINING WORK  STREET LIGHTS,402926.57504,133517.47491,38.8694766264739,-76.9662763078059,,Local Street Upgr-W7,,4795,,,
12th St,NW,Alaska Ave,Kalmia Rd,2,Upgrading,2004,100,Completed,0.08,4,LOCAL,03/31/2004 08:00:00 AM +0000,,06/09/2004 07:00:00 AM +0000,Pavement in good condition during field survey  2 Year CIP 2001 - 2003,397521.12537,146196.98503,38.9836989939426,-77.0286105150277,,,,4201,,,
1st St,NW,Bryant St,Irving St,3,Pavement Resurface/restoration,2004,100,Completed,0.69,1/5,COLLECTOR,03/31/2004 08:00:00 AM +0000,,06/17/2004 07:00:00 AM +0000,,398947.11312,139821.8439,38.9262729002976,-77.0121423551244,,FedAid_6YR_CIP,FY-05,4854,,,
Stephenson Pl,NW,33rd St,Broad Branch Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.27,4,LOCAL,03/31/2004 08:00:00 AM +0000,06/17/2004 07:00:00 AM +0000,06/17/2004 07:00:00 AM +0000,,394036.81996,144819.15312,38.9712704268223,-77.0688134478927,N/A,Citywide Pavement Restoration,Paul Stephenson,4340,O. Hill,N/A,202-671-4591
Bryant St,NW,6th St,Georgia Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.06,1,COLLECTOR,03/31/2004 08:00:00 AM +0000,,06/18/2004 07:00:00 AM +0000,,398150.82083,139131.24045,38.9200504084342,-77.0213236878303,,FedAid_6YR_CIP,,4881,,,
Indiana Ave,NW,4th St,6th St,2,Federal Aid Resurfacing,1999,100,Completed,0.21,6,LOCAL,,11/01/2003 08:00:00 AM +0000,06/19/2004 07:00:00 AM +0000,2 Year CIP 2000 - 2002    On hold.  Awaiting traffic plan approval.,398434.77302,136328.94467,38.894806909647,-77.0180429250714,,,,2556,,,
Riggs St,NW,13th St,14th St,1,Pavement Resurface/restoration,2004,100,Completed,0.13,2,LOCAL,03/31/2004 08:00:00 AM +0000,,06/21/2004 07:00:00 AM +0000,,397329.915,138387.58496,38.9133492031347,-77.0307870166892,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Street),Maduabuchi Udeh,5104,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
N St,NW,20th St,New Hampshire Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.05,2,LOCAL,03/31/2004 08:00:00 AM +0000,,06/21/2004 07:00:00 AM +0000,,396072.06207,137710.45059,38.9072446245491,-77.045286627004,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,3982,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Columbia Rd,NW,Harvard St,17th St,3,Pavement Resurface/restoration,2004,100,Completed,0.15,1,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,06/22/2004 07:00:00 AM +0000,,396702.28553,139747.92045,38.925601417445,-77.0380303382406,,FedAid_6YR_CIP,,4858,,,
Quarry Rd,NW,Summit Pl,18th St,2,Pavement Resurface/restoration,2004,100,Completed,0.04,1,LOCAL,06/01/2006 07:00:00 AM +0000,,06/24/2004 07:00:00 AM +0000,Added to IDIQ04 per Team 1,396470.26489,139870.97776,38.9267090550233,-77.0407067097698,2nd Aid to State,CIP_2004-2009,,3470,,,
Quarry Rd,NW,Cul De Sac,Summit Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.02,1,LOCAL,03/31/2004 08:00:00 AM +0000,,06/24/2004 07:00:00 AM +0000,,396529.95385,139849.19616,38.9265130772765,-77.0400182361403,,,,3991,,,
Connecticut Ave,NW,Macomb St,Macomb St,0,High Accident Intersection,2003,100,Completed,0,3,PRINCIPAL ARTERIAL,,,06/25/2004 07:00:00 AM +0000,,395030.65999,140626.74,38.933510231162,-77.0573144378421,,,,5302,,,
Connecticut Ave,NW,Nebraska Ave,Nebraska Ave,0,High Accident Intersection,2003,100,Completed,0,3,PRINCIPAL ARTERIAL,,,06/25/2004 07:00:00 AM +0000,,393897.07999,143127.83002,38.9560336097261,-77.0704109540572,,,,5301,,,
Park Rd,NW,Klingle Rd,Piney Branch Pky,2,Pavement Resurface/restoration,2004,100,Completed,0.2,1,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,06/25/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,396056.99871,140729.07184,38.9344372724605,-77.0454776358093,,FedAid_6YR_CIP,FY-05,2855,,,
Quarry Rd,NW,18th St,Harvard St,1,Pavement Resurface/restoration,2004,100,Completed,0.06,1,LOCAL,03/31/2004 08:00:00 AM +0000,,06/30/2004 07:00:00 AM +0000,,396396.34972,139907.10688,38.9270342174311,-77.0415593268661,,,,4126,,,
S St,SE,Fort Davis St,40th St,1,Reconstruction,1999,100,Completed,0.14,7,LOCAL,03/31/2004 08:00:00 AM +0000,12/16/2003 08:00:00 AM +0000,07/01/2004 07:00:00 AM +0000,basin/pipe work completed. curb/gutter  sidewalk and driveway aprons completed but some sidewalk rejected. washington gas replacing lines  no excavation until gas line work is completed,404497.14935,133058.58844,38.8653361607135,-76.9481811726773,,Local Street Upgr-W7,,2384,,,
45th St,NW,Klingle St,Lowell St,1,Regular Cover,1999,100,Completed,0.07,3,LOCAL,08/04/2003 07:00:00 AM +0000,,07/04/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003  Extended the limit of the original project  due to an extra $5 000 000.00 for local streets  per Khalid,392314.36373,140448.10022,38.9318814289987,-77.0886411272137,,,,4799,,,
23rd St,NW,M St,P St,3,Pavement Resurface/restoration,2004,100,Completed,0.32,2,PRINCIPAL ARTERIAL,03/31/2004 08:00:00 AM +0000,,07/06/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002  Also Proposed by Construction Div,395654.35686,137734.30045,38.9074575063916,-77.0501026524996,, ,,3052,,,
Bryant St,NW,North Capitol St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.18,5,COLLECTOR,03/31/2004 08:00:00 AM +0000,,07/08/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,399081.20073,139270.15162,38.921303230549,-77.0105952593398,,,,2396,,,
Tuckerman St,NW,Blair Rd,3rd St,2,Pavement Resurface/restoration,2004,100,Completed,0.13,4,LOCAL,03/31/2004 08:00:00 AM +0000,07/08/2004 07:00:00 AM +0000,07/08/2004 07:00:00 AM +0000,,398706.31622,144374.86976,38.9672875090772,-77.0149279172305,N/A,Citywide Pavement Restoration,Paul Stephenson,5930,Rodney Olive and William Lester,N/A,(202)6714591
Underwood Pl,NE,North Capitol St,Underwood St,1,Pavement Resurface/restoration,2004,100,Completed,0.13,4,LOCAL,03/31/2004 08:00:00 AM +0000,07/08/2004 07:00:00 AM +0000,07/08/2004 07:00:00 AM +0000,,399313.0536,144546.95543,38.9688383826594,-77.0079269001359,N/A,Citywidy Pavement Restoration,Paul Stephenson,4062,Rodney Olive and William Lester,N/A,(202)6714591
1st St,NW,V St,Bryant St,3,Pavement Resurface/restoration,2004,100,Completed,0.22,5,COLLECTOR,,,07/09/2004 07:00:00 AM +0000,,398946.41494,139093.13501,38.9197084561848,-77.0121492884103,,,,5281,,,
Emerson St,NW,Arkansas Ave,13th St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,4,LOCAL,03/31/2004 08:00:00 AM +0000,07/12/2004 07:00:00 AM +0000,07/09/2004 07:00:00 AM +0000,,397460.80006,142426.84957,38.9497365209945,-77.0292928109292,N/A,Citywide Pavement Restoration,Paul Stephenson,3964,Rodney Olive and William Lester,N/A,202-671-4591
1st St,NW,R St,U St,7,Pavement Resurface/restoration,2004,100,Completed,0.3,5,COLLECTOR,,,07/12/2004 07:00:00 AM +0000,,398945.887,138548.5703,38.9148028368658,-77.012154540196,,,,5282,,,
4th St,NE,S St,T St,2,Pavement Resurface/restoration,2004,100,Completed,0.11,5,LOCAL,,,07/12/2004 07:00:00 AM +0000,,399950.75152,138555.78755,38.9148684830419,-77.0005678643361,,,,5283,,,
5th St,NE,T St,V St,1,Pavement Resurface/restoration,2004,100,Completed,0.17,5,LOCAL,,,07/12/2004 07:00:00 AM +0000,,400041.11347,138779.408,38.9168829308282,-76.9995259237888,,,,5284,,,
V St,NE,4th St,Cul De Sac,4,Pavement Resurface/restoration,2004,100,Completed,0.29,5,LOCAL,,,07/12/2004 07:00:00 AM +0000,,400540.81049,138818.28246,38.9172329593748,-76.9937639258703,,,,5285,,,
13th St,NE,Downing St,Brentwood Rd (S),1,Pavement Resurface/restoration,2004,100,Completed,0.18,5,LOCAL,,,07/12/2004 07:00:00 AM +0000,,401040.00726,139147.53891,38.9201985604058,-76.988007199926,,,,5286,,,
Downing St,NE,Adams St,Bryant St,1,Pavement Resurface/restoration,2004,100,Completed,0.1,5,LOCAL,,,07/12/2004 07:00:00 AM +0000,,401229.65869,139187.86397,38.9205615767415,-76.9858201702228,,,,5287,,,
Wisconsin Ave,NW,41st St,Jenifer St,9,Federal Aid Resurfacing,1999,100,Completed,0.66,3,PRINCIPAL ARTERIAL,07/31/2002 07:00:00 AM +0000,07/12/2004 07:00:00 AM +0000,07/12/2004 07:00:00 AM +0000,2 Year CIP 2000 - 2002,392850.69913,142948.13347,38.9544069625953,-77.0824814392403,,,,2324,,,
Rock Creek Ford Rd,NW,Piney Branch Rd,13th Pl,2,Pavement Resurface/restoration,2004,100,Completed,0.16,4,LOCAL,03/31/2003 08:00:00 AM +0000,,07/13/2004 07:00:00 AM +0000,Added to IDIQ04 per Team 2,397405.95875,143819.76941,38.9622841494152,-77.029930741761,N/A,Citywide Pavement Restoration,Paul Stephenson,5442,Lester,N/A,202-671-4591
32nd St,SE,D St,E St,2,Upgrading,2001,100,Completed,0.12,7,LOCAL,03/31/2004 08:00:00 AM +0000,06/15/2004 07:00:00 AM +0000,07/26/2004 07:00:00 AM +0000,baisin and pipe work nearly completed.,403344.59683,135086.11171,38.8836060354832,-76.9614517007026,,Local Street Upgr-W7,,4210,,,
Emerson St,NE,10th St,11th St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/26/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,400672.45632,142485.30912,38.9502665531638,-76.9922423273247,,,,3019,,,
M St,NW,5th St,6th St,1,Pavement Resurface/restoration,2004,100,Completed,0.06,2,COLLECTOR,03/31/2004 08:00:00 AM +0000,,07/26/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,398315.87411,137532,38.9056442428746,-77.0194164644675,,FedAid_6YR_CIP,,2840,,,
43rd St,NW,New Mexico Ave,Cul De Sac,13,Pavement Resurface/restoration,2004,100,Completed,0.56,3,LOCAL,07/19/2004 07:00:00 AM +0000,,07/27/2004 07:00:00 AM +0000,,392737.27449,142151.20023,38.9472270429822,-77.0837815797263,N/A,Citywide Pavement Restoration,Paul Stephenson,8931,Madibo,N/A,202-671-4591
Pennsylvania Ave,SE,Interstate 295 (N),Anacostia Dr,1,Pavement Resurface/restoration,2004,100,Completed,0.19,6,PRINCIPAL ARTERIAL,,,07/28/2004 07:00:00 AM +0000,,401927.14358,134325.47238,38.8767581494106,-76.9777907530411,,,,5934,,,
12th Pl,NE,Taylor St,Upshur St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/28/2004 07:00:00 AM +0000,,400930.36195,141485.59408,38.9412606031896,-76.9892684007295,,,,4015,,,
Kenilworth Ave,NE,Lane Pl,44th St,1,Pavement Resurface/restoration,2004,100,Completed,0.1,7,LOCAL,03/31/2004 08:00:00 AM +0000,,07/29/2004 07:00:00 AM +0000,,405128.20759,137472.51107,38.9050949995008,-76.9408768070464,,,,5122,,,
N St,NE,3rd St,Florida Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.07,6,LOCAL,03/31/2004 08:00:00 AM +0000,,07/29/2004 07:00:00 AM +0000,,399877.5087,137708.50886,38.9072359009846,-77.0014122465801,,,,5131,,,
Kearny St,NE,20th St,24th St,2,Pavement Resurface/restoration,2004,100,Completed,0.23,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/29/2004 07:00:00 AM +0000,,402237.80941,140362.66,38.9311425210441,-76.9741908337206,,CIP_2004-2009,,4053,,,
Evarts St,NE,4th St,Edgewood St,2,Pavement Resurface/restoration,2004,100,Completed,0.17,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/30/2004 07:00:00 AM +0000,Extended limits  from 6th St to Edgewood St,400089.01696,139626.07888,38.9245100132936,-76.9989734426016,,,,5127,,,
Orren St,NE,Neal St,Levis St,2,Pavement Resurface/restoration,2004,100,Completed,0.13,5,LOCAL,03/31/2004 08:00:00 AM +0000,03/31/2004 08:00:00 AM +0000,07/30/2004 07:00:00 AM +0000,Extended limits  from Oates St to Levis St,401318.00038,137339.49168,38.9039106856849,-76.9848050043735,,,,5130,,,
4th St,NE,Rhode Island Ave,Edgewood St,4,Pavement Resurface/restoration,2004,100,Completed,0.22,5,COLLECTOR,03/31/2004 08:00:00 AM +0000,,07/30/2004 07:00:00 AM +0000,,399950.65821,139277.53901,38.9213702574815,-77.0005689921277,,FedAid_6YR_CIP,,4765,,,
Washington Cir,NW,23rd St (S),23rd St (S),8,Pavement Resurface/restoration,2004,100,Completed,0.23,2,PRINCIPAL ARTERIAL,,,07/30/2004 07:00:00 AM +0000,,395706.63385,137168.70339,38.9023626674888,-77.0494963946902,,,,5940,,,
Raum St,NE,Trinidad Ave,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.03,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/30/2004 07:00:00 AM +0000,,401490.3383,137757.57465,38.9076766476462,-76.9828172434665,,,,4059,,,
G St,SE,Kentucky Ave,17th St,2,Pavement Resurface/restoration,2004,100,Completed,0.14,6,LOCAL,03/31/2004 08:00:00 AM +0000,,07/30/2004 07:00:00 AM +0000,,401565.45901,134825.5743,38.8812639816084,-76.9819578252985,,CIP_2004-2009,,4091,,,
K St,SE,12th St,Barney Cir,4,Pavement Resurface/restoration,2004,100,Completed,0.45,6,LOCAL,03/31/2004 08:00:00 AM +0000,,08/02/2004 07:00:00 AM +0000,,401207.94038,134507.41641,38.8783984549901,-76.9860788459025,,,,5152,,,
Patterson St,NE,North Capitol St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.17,6,LOCAL,03/31/2004 08:00:00 AM +0000,,08/02/2004 07:00:00 AM +0000,,399358.09971,137621.11558,38.906448406109,-77.0074006193246,,,,4671,,,
Pierce St,NE,North Capitol St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.18,6,LOCAL,03/31/2004 08:00:00 AM +0000,,08/02/2004 07:00:00 AM +0000,,399351.45245,137425.96969,38.9046904588674,-77.0074770728685,,,,4672,,,
Connecticut Ave,NW,Chevy Chase Cir (N),Maryland Line,1,Pavement Resurface/restoration,2004,100,Completed,0.02,3,LOCAL,,,08/03/2004 07:00:00 AM +0000,,393314.44646,144473.88586,38.9681549754958,-77.0771460674358,,,,5935,,,
