Index,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
180,0,0.0,0,0.0,17,284.25,0.0,0.011764706000000002,0.0,0.0,Feb,3,2,6,2,Returning_Visitor,True,False
181,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,4,2,1,3,Returning_Visitor,False,False
182,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2,4,1,1,Returning_Visitor,False,False
183,0,0.0,0,0.0,8,260.0,0.008333333,0.025,0.0,0.8,Feb,3,2,1,3,Returning_Visitor,True,False
184,0,0.0,16,1210.3976189999998,5,279.85714289999993,0.003174603,0.012764201999999999,0.0,0.0,Mar,2,2,1,8,Returning_Visitor,False,False
185,0,0.0,0,0.0,20,927.45,0.011111111000000002,0.027248677000000002,8.000740741,0.0,Mar,1,1,3,1,Returning_Visitor,False,False
186,2,9.0,0,0.0,50,836.8,0.0,0.006339869000000001,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
187,10,293.77820510000004,2,153.0,96,3283.1667390000002,0.001960784,0.013509413999999999,0.0,0.0,Mar,3,2,6,2,Returning_Visitor,True,False
188,9,111.5,1,48.5,49,1868.819697,0.0,0.020708874,1.706014966,0.0,Mar,2,2,7,2,Returning_Visitor,False,True
189,3,47.0,1,51.0,68,3008.124108,0.007142857,0.016727891,46.53017511,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
190,0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
191,3,1226.0,5,3.0,24,3230.25,0.036190476,0.096,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
192,3,52.0,0,0.0,9,319.0,0.0,0.02,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,False
193,0,0.0,0,0.0,3,42.0,0.0,0.066666667,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
194,0,0.0,0,0.0,22,354.3333333,0.009090909,0.057662338,0.0,0.0,Mar,1,1,7,2,Returning_Visitor,True,False
195,0,0.0,0,0.0,98,3556.61241,0.002061856,0.010173465,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
196,2,56.0,1,144.0,67,2563.783333,0.0,0.005797101,19.34265017,0.0,Mar,2,2,4,2,New_Visitor,False,True
197,3,112.96078429999999,0,0.0,13,3014.018519,0.013068182,0.06140625,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
198,0,0.0,0,0.0,17,840.2333332999999,0.0,0.0016666670000000001,109.176,0.0,Mar,2,2,9,2,New_Visitor,False,True
199,3,94.0,2,125.0,55,1970.8448050000002,0.0,0.0017241379999999998,96.25511582,0.0,Mar,2,4,1,2,New_Visitor,True,True
200,1,32.0,0,0.0,50,2867.0,0.0,0.004,153.44324780000002,0.0,Mar,2,2,7,8,Returning_Visitor,True,True
201,0,0.0,0,0.0,5,43.0,0.0,0.04,0.0,0.0,Mar,1,1,1,9,Returning_Visitor,True,False
202,5,218.0,0,0.0,13,284.5,0.0,0.004166667,0.0,0.0,Mar,1,1,1,2,New_Visitor,False,False
203,0,0.0,0,0.0,3,133.5,0.0,0.088888889,0.0,0.0,Mar,1,2,1,8,Returning_Visitor,False,False
204,1,119.0,0,0.0,12,297.6666667,0.0,0.008333333,0.0,0.0,Mar,3,2,1,10,Returning_Visitor,False,False
205,3,281.0,0,0.0,16,453.75,0.0,0.005263158,0.0,0.0,Mar,2,2,5,2,New_Visitor,False,False
206,1,18.0,0,0.0,16,1331.75,0.0,0.0125,33.79956701,0.0,Mar,2,5,2,3,New_Visitor,False,True
207,2,40.0,0,0.0,5,558.5,0.0,0.028571429,0.0,0.0,Mar,2,2,7,2,New_Visitor,True,False
208,3,107.0,0,0.0,4,145.83333330000002,0.0,0.016666667,0.0,0.0,Mar,3,2,7,1,New_Visitor,False,False
209,0,0.0,0,0.0,8,731.0,0.0,0.04375,0.0,0.0,Mar,2,4,1,3,Returning_Visitor,False,False
210,2,49.0,1,127.0,4,188.0,0.033333333,0.0375,0.0,0.0,Mar,3,2,3,2,Returning_Visitor,False,False
211,0,0.0,0,0.0,14,565.3333332999999,0.037619047999999995,0.04952381,0.0,0.0,Mar,2,6,3,1,Returning_Visitor,False,False
212,0,0.0,0,0.0,2,50.0,0.0,0.05,0.0,0.0,Mar,3,2,8,11,Returning_Visitor,False,False
